Time (s),Rotational Speed (rpm/sec)
0,0
1,90.9010989010989
2,161.494505494506
3,15.4725274725275
4,40.1318681318681
5,112.659340659341
6,86.5494505494506
7,2534.10989010989
8,2467.38461538462
9,1830.10989010989
10,1209.75824175824
11,1943.25274725275
12,2704.79120879121
13,3347.38461538462
14,3728.3956043956
15,3783.51648351648
16,3522.9010989011
17,3335.2967032967
18,2997.8021978022
19,2769.58241758242
20,2588.26373626374
21,2459.64835164835
22,2547.64835164835
23,2774.9010989011
24,2972.17582417582
25,3090.63736263736
26,3164.13186813187
27,3250.68131868132
28,3254.06593406593
29,3225.05494505495
30,3181.53846153846
31,3201.84615384615
32,3142.37362637363
33,3070.81318681319
34,3048.08791208791
35,3090.15384615385
36,2980.87912087912
37,2947.03296703297
38,2974.59340659341
39,2949.45054945055
40,2920.43956043956
41,2875.95604395604
42,2914.15384615385
43,2912.7032967033
44,2906.9010989011
45,2921.40659340659
46,2903.51648351648
47,2917.53846153846
48,2919.47252747253
49,2959.60439560439
50,2955.25274725275
51,2772.48351648352
52,2987.64835164835
53,3120.61538461538
54,3077.58241758242
55,3035.03296703297
56,3034.54945054945
57,3019.07692307692
58,3005.53846153846
59,3005.05494505494
60,2959.12087912088
61,2943.16483516484
62,2980.87912087912
63,2977.01098901099
64,2975.56043956044
65,2965.89010989011
66,2998.28571428571
67,2969.75824175824
68,2965.40659340659
69,2970.24175824176
70,2983.2967032967
71,2983.2967032967
72,3016.17582417582
73,2952.35164835165
74,3014.24175824176
75,2973.62637362637
76,2945.0989010989
77,2963.95604395604
78,2948.48351648352
79,2957.18681318681
80,3065.97802197802
81,2950.41758241758
82,2930.10989010989
83,2926.72527472527
84,2954.28571428571
85,2945.58241758242
86,2993.45054945055
87,2959.12087912088
88,3001.67032967033
89,2989.58241758242
90,2986.1978021978
91,2967.82417582418
92,2957.18681318681
93,3070.32967032967
94,2986.1978021978
95,3004.08791208791
96,3015.69230769231
97,2988.61538461538
98,3051.95604395604
99,3020.52747252747
100,3031.16483516484
101,3080
102,3082.41758241758
103,3080.48351648352
104,3050.02197802198
105,3106.10989010989
106,3027.78021978022
107,3069.36263736264
108,3010.37362637363
109,2996.35164835165
110,3082.9010989011
111,3006.98901098901
112,3070.81318681319
113,3061.14285714286
114,3050.02197802198
115,3053.40659340659
116,3075.16483516484
117,3040.35164835165
118,2871.6043956044
119,3091.60439560439
120,3197.97802197802
121,3174.76923076923
122,3193.14285714286
123,3146.72527472527
124,3129.8021978022
125,3109.49450549451
126,3133.67032967033
127,3013.27472527473
128,3096.92307692308
129,3086.28571428571
130,3066.94505494505
131,3074.1978021978
132,3037.45054945055
