Time (s),Rotational Speed (rpm/sec)
0,0
1,72.043956043956
2,87.032967032967
3,63.3406593406593
4,35.7802197802198
5,37.7142857142857
6,3.86813186813187
7,29.010989010989
8,16.4395604395604
9,124.747252747253
10,167.78021978022
11,660.967032967033
12,1815.6043956044
13,2674.81318681319
14,3455.20879120879
15,4375.82417582418
16,5028.57142857143
17,5514.02197802198
18,5755.2967032967
19,5711.78021978022
20,5533.84615384615
21,5305.62637362637
22,5165.89010989011
23,4967.16483516483
24,4851.6043956044
25,4823.56043956044
26,4811.95604395604
27,4806.15384615385
28,4809.05494505495
29,4828.3956043956
30,4844.35164835165
31,4881.58241758242
32,4951.20879120879
33,5021.8021978022
34,5062.9010989011
35,5108.35164835165
36,5131.07692307692
37,5180.87912087912
38,5211.82417582418
39,5134.46153846154
40,5125.27472527473
41,5125.27472527472
42,5133.97802197802
43,5041.14285714286
44,5052.26373626374
45,4988.43956043956
46,5007.78021978022
47,4825.97802197802
48,4393.71428571429
49,3884.57142857143
50,3490.98901098901
51,3256.96703296703
52,3289.84615384615
53,3584.30769230769
54,3803.82417582418
55,4079.42857142857
56,4334.72527472527
57,4475.42857142857
58,4545.05494505494
59,4416.43956043956
60,4350.68131868132
61,4301.84615384615
62,3987.07692307692
63,3667.95604395604
64,3169.93406593407
65,2725.58241758242
66,2398.72527472527
67,2255.12087912088
68,2443.69230769231
69,2764.26373626374
70,2928.65934065934
71,3190.72527472527
72,3321.75824175824
73,3330.94505494505
74,3277.27472527472
75,3183.47252747253
76,3059.20879120879
77,2937.36263736264
78,2902.06593406593
79,2844.04395604396
80,2785.05494505495
81,2771.51648351648
82,2803.42857142857
83,2861.93406593407
84,2847.42857142857
85,2890.94505494505
86,2858.54945054945
87,3027.78021978022
88,3007.47252747253
89,3096.92307692308
90,3197.01098901099
91,3243.42857142857
92,3326.59340659341
93,3309.67032967033
94,3231.34065934066
95,3178.63736263736
96,3121.0989010989
97,3057.75824175824
98,3015.20879120879
99,2932.52747252747
100,2924.30769230769
101,2867.73626373626
102,2818.9010989011
103,2853.71428571429
104,2772.96703296703
105,2818.41758241758
106,2876.92307692308
107,2954.76923076923
108,2928.17582417582
109,2872.08791208791
110,2864.35164835165
111,2842.10989010989
112,2885.62637362637
113,2835.34065934066
114,2828.57142857143
115,2907.86813186813
116,2961.05494505494
