Time (s),Rotational Speed (rpm/sec)
0,0
1,102.021978021978
2,0
3,55.6043956043956
4,1609.14285714286
5,258.681318681319
6,117.010989010989
7,64.3076923076923
8,112.175824175824
9,2293.31868131868
10,818.593406593406
11,1478.10989010989
12,2243.03296703297
13,3097.40659340659
14,3995.2967032967
15,4952.65934065934
16,5592.35164835165
17,6097.62637362637
18,6288.61538461538
19,6171.12087912088
20,5887.2967032967
21,5507.25274725275
22,5239.38461538462
23,4972.48351648352
24,4840
25,4840.48351648352
26,4960.3956043956
27,5185.71428571429
28,5271.78021978022
29,5345.27472527472
30,5410.54945054945
31,5477.27472527472
32,5426.5054945055
33,5529.4945054945
34,5592.35164835165
35,5641.67032967033
36,5532.87912087912
37,5553.18681318681
38,5490.81318681319
39,5434.24175824176
40,5500.96703296703
41,5412
42,5369.45054945055
43,5292.08791208791
44,5238.9010989011
45,5290.63736263736
46,5360.26373626374
47,5306.10989010989
48,5331.73626373626
49,5354.46153846154
50,5347.20879120879
51,5368
52,5393.14285714286
53,5406.68131868132
54,5326.41758241758
55,5439.56043956044
56,5440.04395604396
57,5459.38461538462
58,5496.13186813187
59,5436.65934065934
60,5409.58241758242
61,5380.57142857143
62,5325.45054945055
63,5340.43956043956
64,5368.48351648352
65,5305.14285714286
66,5283.86813186813
67,5285.8021978022
68,5320.13186813187
69,5308.52747252747
70,5242.28571428571
71,5342.85714285714
72,5411.51648351648
73,5440.04395604396
74,5479.20879120879
75,5507.25274725275
76,5470.5054945055
77,5458.9010989011
78,5409.0989010989
79,5377.18681318681
80,5350.10989010989
81,5367.03296703297
82,5376.7032967033
83,5372.83516483516
84,5399.42857142857
85,5328.35164835165
86,5340.92307692308
87,5352.04395604396
88,5379.12087912088
89,5355.42857142857
90,5350.10989010989
91,5333.67032967033
92,5263.07692307692
93,5359.2967032967
94,5349.14285714286
95,5364.61538461538
96,5351.56043956044
97,5249.05494505494
98,5324
99,5474.85714285714
100,5510.15384615385
101,5495.64835164835
102,5346.24175824176
103,5424.08791208791
104,5371.86813186813
105,5457.93406593407
106,5423.60439560439
107,5481.62637362637
