Time (s),Rotational Speed (rpm/sec)
0,0
1,82.6813186813187
2,107.824175824176
3,112.175824175824
4,103.956043956044
5,53.6703296703297
6,114.593406593407
7,117.494505494505
8,90.4175824175824
9,92.3516483516484
10,91.3846153846154
11,96.7032967032967
12,284.791208791209
13,107.340659340659
14,161.494505494506
15,0
16,370.857142857143
17,917.714285714286
18,1552.08791208791
19,1922.94505494505
20,2077.67032967033
21,2149.23076923077
22,2161.31868131868
23,2360.04395604396
24,2230.46153846154
25,2128.92307692308
26,2042.85714285714
27,2000.30769230769
28,1940.35164835165
29,2013.84615384615
30,1976.13186813187
31,2252.21978021978
32,2984.26373626374
33,3586.24175824176
34,4424.17582417582
35,5090.94505494505
36,5641.67032967033
37,5714.1978021978
38,5661.01098901099
39,5462.76923076923
40,5274.68131868132
41,5073.53846153846
42,4909.14285714286
43,4727.82417582417
44,4587.12087912088
45,4736.52747252747
46,4796.48351648352
47,4920.26373626374
48,4903.34065934066
49,5014.06593406593
50,5070.15384615385
51,5099.16483516483
52,5141.71428571429
53,5116.08791208791
54,5109.31868131868
55,5089.97802197802
56,5019.38461538462
57,5172.65934065934
58,5213.27472527473
59,5147.03296703297
60,5205.05494505495
61,5118.02197802198
62,5086.10989010989
63,5085.14285714286
64,5077.89010989011
65,5166.37362637363
66,5139.78021978022
67,5086.10989010989
68,4989.40659340659
69,5052.74725274725
70,5060.48351648351
71,5121.40659340659
72,5030.02197802198
73,5184.74725274725
74,5265.01098901099
75,5072.57142857143
76,5005.84615384615
77,5008.26373626374
78,4980.7032967033
79,4979.25274725275
80,4985.05494505494
81,5002.46153846154
82,5007.2967032967
83,4926.54945054945
84,5071.12087912088
85,5018.9010989011
86,5073.05494505494
87,5008.26373626374
88,5095.78021978022
89,5094.81318681319
90,5083.20879120879
91,5112.7032967033
92,5109.31868131868
93,5120.92307692308
94,5171.69230769231
95,5125.27472527472
96,5054.68131868132
97,5030.50549450549
98,5026.63736263736
99,5030.02197802198
100,4994.72527472527
101,5043.56043956044
102,4966.68131868132
103,4899.47252747253
104,4868.52747252747
105,4730.24175824176
106,4997.14285714286
107,4913.97802197802
108,4952.17582417582
109,4933.8021978022
110,4894.15384615385
111,4873.84615384615
112,4931.38461538462
113,4930.9010989011
114,5022.76923076923
115,4957.49450549451
116,5042.10989010989
117,5005.84615384615
118,5015.03296703297
119,5102.06593406593
120,4935.25274725275
121,4964.74725274725
122,4910.10989010989
123,4910.10989010989
124,4868.52747252747
125,4874.81318681319
126,4888.83516483516
127,4961.84615384615
128,5024.21978021978
129,5071.6043956044
130,4940.08791208791
131,4648.04395604396
132,4858.85714285714
133,4890.28571428571
134,4914.94505494505
135,4991.82417582418
136,5023.25274725275
137,5052.74725274725
138,5081.27472527472
139,5063.38461538462
140,5158.63736263736
141,5095.78021978022
142,5037.27472527473
143,4771.34065934066
144,5131.07692307692
145,5232.61538461538
146,5239.38461538462
147,5300.79120879121
148,5206.98901098901
149,5186.1978021978
150,5114.15384615385
151,5017.93406593407
152,4971.51648351648
153,4938.63736263736
154,4860.30769230769
155,4680.43956043956
156,4934.28571428571
157,4848.21978021978
158,4929.93406593407
159,5000.52747252747
160,5049.84615384615
161,5138.81318681319
162,5150.41758241758
163,5131.07692307692
164,5104
165,5038.24175824176
166,4995.20879120879
167,4972.48351648352
168,4941.53846153846
169,5030.02197802198
170,4973.45054945055
171,5061.93406593407
172,4983.12087912088
173,4949.27472527472
174,4912.04395604396
175,4926.06593406593
176,4997.14285714286
177,4976.35164835165
178,5030.50549450549
179,5043.07692307692
180,5042.59340659341
181,5055.16483516483
182,5036.30769230769
183,5082.72527472527
184,5091.42857142857
185,5069.18681318681
186,5042.59340659341
187,5184.74725274725
188,5063.86813186813
189,5105.93406593407
190,5035.34065934066
191,5136.3956043956
192,5169.75824175824
193,5076.43956043956
194,5069.67032967033
195,5103.51648351648
196,5076.43956043956
197,4975.86813186813
198,4904.30769230769
199,4887.86813186813
200,4915.91208791209
201,4930.41758241758
202,4976.35164835165
203,5011.64835164835
204,5081.27472527472
205,5048.87912087912
206,5070.63736263736
207,5038.24175824176
208,5099.64835164835
209,4990.37362637363
210,5001.97802197802
211,4810.02197802198
212,4876.74725274725
213,4846.76923076923
214,4855.47252747253
215,4894.15384615385
216,4916.3956043956
217,5021.31868131868
218,4944.92307692308
219,4988.43956043956
220,5041.14285714286
221,4975.38461538462
222,4993.75824175824
223,5110.76923076923
224,5004.87912087912
225,5107.38461538462
226,5026.63736263736
227,5158.63736263736
228,5124.30769230769
229,5157.67032967033
230,5153.31868131868
231,4869.49450549451
232,5162.50549450549
233,5258.72527472527
234,5132.04395604396
235,5059.51648351648
236,5061.45054945055
237,5047.91208791209
238,4983.6043956044
239,4961.84615384615
